"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2016",1.451201,
"AUS","PPP","TOT","NATUSD","A","2017",1.444458,
"AUS","PPP","TOT","NATUSD","A","2018",1.434276,
"AUT","PPP","TOT","NATUSD","A","2016",0.789364,
"AUT","PPP","TOT","NATUSD","A","2017",0.780367,
"AUT","PPP","TOT","NATUSD","A","2018",0.775798,
"BEL","PPP","TOT","NATUSD","A","2016",0.793648,
"BEL","PPP","TOT","NATUSD","A","2017",0.781355,
"BEL","PPP","TOT","NATUSD","A","2018",0.776795,
"CAN","PPP","TOT","NATUSD","A","2016",1.245164,
"CAN","PPP","TOT","NATUSD","A","2017",1.252006,
"CAN","PPP","TOT","NATUSD","A","2018",1.248531,
"CZE","PPP","TOT","NATUSD","A","2016",12.808315,
"CZE","PPP","TOT","NATUSD","A","2017",12.530576,
"CZE","PPP","TOT","NATUSD","A","2018",12.480582,
"DNK","PPP","TOT","NATUSD","A","2016",7.232726,
"DNK","PPP","TOT","NATUSD","A","2017",6.950601,
"DNK","PPP","TOT","NATUSD","A","2018",6.818195,
"FIN","PPP","TOT","NATUSD","A","2016",0.899145,
"FIN","PPP","TOT","NATUSD","A","2017",0.877078,
"FIN","PPP","TOT","NATUSD","A","2018",0.870256,
"FRA","PPP","TOT","NATUSD","A","2016",0.794704,
"FRA","PPP","TOT","NATUSD","A","2017",0.775574,
"FRA","PPP","TOT","NATUSD","A","2018",0.765686,
"DEU","PPP","TOT","NATUSD","A","2016",0.768617,
"DEU","PPP","TOT","NATUSD","A","2017",0.754169,
"DEU","PPP","TOT","NATUSD","A","2018",0.75157,
"GRC","PPP","TOT","NATUSD","A","2016",0.600497,
"GRC","PPP","TOT","NATUSD","A","2017",0.586328,
"GRC","PPP","TOT","NATUSD","A","2018",0.576377,
"HUN","PPP","TOT","NATUSD","A","2016",134.615415,
"HUN","PPP","TOT","NATUSD","A","2017",136.068883,
"HUN","PPP","TOT","NATUSD","A","2018",139.025638,
"ISL","PPP","TOT","NATUSD","A","2016",141.893267,
"ISL","PPP","TOT","NATUSD","A","2017",137.725092,
"ISL","PPP","TOT","NATUSD","A","2018",137.621163,
"IRL","PPP","TOT","NATUSD","A","2016",0.810133,
"IRL","PPP","TOT","NATUSD","A","2017",0.796521,
"IRL","PPP","TOT","NATUSD","A","2018",0.780478,
"ITA","PPP","TOT","NATUSD","A","2016",0.713846,
"ITA","PPP","TOT","NATUSD","A","2017",0.69628,
"ITA","PPP","TOT","NATUSD","A","2018",0.690916,
"JPN","PPP","TOT","NATUSD","A","2016",102.644578,
"JPN","PPP","TOT","NATUSD","A","2017",102.470366,
"JPN","PPP","TOT","NATUSD","A","2018",100.074597,
"KOR","PPP","TOT","NATUSD","A","2016",862.549513,
"KOR","PPP","TOT","NATUSD","A","2017",866.009087,
"KOR","PPP","TOT","NATUSD","A","2018",852.694385,
"LUX","PPP","TOT","NATUSD","A","2016",0.871545,
"LUX","PPP","TOT","NATUSD","A","2017",0.861496,
"LUX","PPP","TOT","NATUSD","A","2018",0.865601,
"MEX","PPP","TOT","NATUSD","A","2016",8.684357,
"MEX","PPP","TOT","NATUSD","A","2017",9.040807,
"MEX","PPP","TOT","NATUSD","A","2018",9.342497,
"NLD","PPP","TOT","NATUSD","A","2016",0.810165,
"NLD","PPP","TOT","NATUSD","A","2017",0.790553,
"NLD","PPP","TOT","NATUSD","A","2018",0.790576,
"NZL","PPP","TOT","NATUSD","A","2016",1.46973,
"NZL","PPP","TOT","NATUSD","A","2017",1.470805,
"NZL","PPP","TOT","NATUSD","A","2018",1.45439,
"NOR","PPP","TOT","NATUSD","A","2016",10.249825,
"NOR","PPP","TOT","NATUSD","A","2017",10.070307,
"NOR","PPP","TOT","NATUSD","A","2018",10.434994,
"POL","PPP","TOT","NATUSD","A","2016",1.767247,
"POL","PPP","TOT","NATUSD","A","2017",1.750195,
"POL","PPP","TOT","NATUSD","A","2018",1.721663,
"PRT","PPP","TOT","NATUSD","A","2016",0.581801,
"PRT","PPP","TOT","NATUSD","A","2017",0.580383,
"PRT","PPP","TOT","NATUSD","A","2018",0.575624,
"SVK","PPP","TOT","NATUSD","A","2016",0.484094,
"SVK","PPP","TOT","NATUSD","A","2017",0.481903,
"SVK","PPP","TOT","NATUSD","A","2018",0.482383,
"ESP","PPP","TOT","NATUSD","A","2016",0.655507,
"ESP","PPP","TOT","NATUSD","A","2017",0.64123,
"ESP","PPP","TOT","NATUSD","A","2018",0.632962,
"SWE","PPP","TOT","NATUSD","A","2016",9.003919,
"SWE","PPP","TOT","NATUSD","A","2017",8.856307,
"SWE","PPP","TOT","NATUSD","A","2018",8.854893,
"CHE","PPP","TOT","NATUSD","A","2016",1.228178,
"CHE","PPP","TOT","NATUSD","A","2017",1.193124,
"CHE","PPP","TOT","NATUSD","A","2018",1.174976,
"TUR","PPP","TOT","NATUSD","A","2016",1.249671,
"TUR","PPP","TOT","NATUSD","A","2017",1.373961,
"TUR","PPP","TOT","NATUSD","A","2018",1.560225,
"GBR","PPP","TOT","NATUSD","A","2016",0.698632,
"GBR","PPP","TOT","NATUSD","A","2017",0.691089,
"GBR","PPP","TOT","NATUSD","A","2018",0.688818,
"USA","PPP","TOT","NATUSD","A","2016",1,
"USA","PPP","TOT","NATUSD","A","2017",1,
"USA","PPP","TOT","NATUSD","A","2018",1,
"BRA","PPP","TOT","NATUSD","A","2016",1.985496,
"BRA","PPP","TOT","NATUSD","A","2017",2.024346,
"BRA","PPP","TOT","NATUSD","A","2018",2.044489,
"CHL","PPP","TOT","NATUSD","A","2016",406.873022,
"CHL","PPP","TOT","NATUSD","A","2017",402.358738,
"CHL","PPP","TOT","NATUSD","A","2018",403.864488,
"CHN","PPP","TOT","NATUSD","A","2016",3.472826,
"CHN","PPP","TOT","NATUSD","A","2017",3.549759,
"CHN","PPP","TOT","NATUSD","A","2018",3.57257,
"COL","PPP","TOT","NATUSD","A","2016",1241.199851,
"COL","PPP","TOT","NATUSD","A","2017",1278.040402,
"COL","PPP","TOT","NATUSD","A","2018",1298.941267,
"EST","PPP","TOT","NATUSD","A","2016",0.533337,
"EST","PPP","TOT","NATUSD","A","2017",0.535932,
"EST","PPP","TOT","NATUSD","A","2018",0.54337,
"IND","PPP","TOT","NATUSD","A","2016",17.522908,
"IND","PPP","TOT","NATUSD","A","2017",17.72917,
"IND","PPP","TOT","NATUSD","A","2018",18.181294,
"IDN","PPP","TOT","NATUSD","A","2016",4092.200721,
"IDN","PPP","TOT","NATUSD","A","2017",4190.49247,
"IDN","PPP","TOT","NATUSD","A","2018",4257.875619,
"ISR","PPP","TOT","NATUSD","A","2016",3.826053,
"ISR","PPP","TOT","NATUSD","A","2017",3.754754,
"ISR","PPP","TOT","NATUSD","A","2018",3.663425,
"RUS","PPP","TOT","NATUSD","A","2016",24.361176,
"RUS","PPP","TOT","NATUSD","A","2017",24.34203,
"RUS","PPP","TOT","NATUSD","A","2018",26.059744,
"SVN","PPP","TOT","NATUSD","A","2016",0.58893,
"SVN","PPP","TOT","NATUSD","A","2017",0.575578,
"SVN","PPP","TOT","NATUSD","A","2018",0.574673,
"ZAF","PPP","TOT","NATUSD","A","2016",5.861077,
"ZAF","PPP","TOT","NATUSD","A","2017",6.076257,
"ZAF","PPP","TOT","NATUSD","A","2018",6.200139,
"EU28","PPP","TOT","NATUSD","A","2016",0.72752,
"EU28","PPP","TOT","NATUSD","A","2017",0.706071,
"EU28","PPP","TOT","NATUSD","A","2018",0.700678,
"LVA","PPP","TOT","NATUSD","A","2016",0.494481,
"LVA","PPP","TOT","NATUSD","A","2017",0.490739,
"LVA","PPP","TOT","NATUSD","A","2018",0.49612,
"LTU","PPP","TOT","NATUSD","A","2016",0.447022,
"LTU","PPP","TOT","NATUSD","A","2017",0.448588,
"LTU","PPP","TOT","NATUSD","A","2018",0.450025,
"SAU","PPP","TOT","NATUSD","A","2016",1.377981,
"SAU","PPP","TOT","NATUSD","A","2017",1.445887,
"EA19","PPP","TOT","NATUSD","A","2016",0.743474,
"EA19","PPP","TOT","NATUSD","A","2017",0.728101,
"EA19","PPP","TOT","NATUSD","A","2018",0.722539,
"ARG","PPP","TOT","NATUSD","A","2016",9.317956,
"ARG","PPP","TOT","NATUSD","A","2017",11.473536,
"CRI","PPP","TOT","NATUSD","A","2016",390.019563,
"CRI","PPP","TOT","NATUSD","A","2017",390.705341,
"BGR","PPP","TOT","NATUSD","A","2016",0.677218,
"BGR","PPP","TOT","NATUSD","A","2017",0.681667,
"HRV","PPP","TOT","NATUSD","A","2016",3.432023,
"HRV","PPP","TOT","NATUSD","A","2017",3.371315,
"CYP","PPP","TOT","NATUSD","A","2016",0.644648,
"CYP","PPP","TOT","NATUSD","A","2017",0.632269,
"MLT","PPP","TOT","NATUSD","A","2016",0.59252,
"MLT","PPP","TOT","NATUSD","A","2017",0.581816,
"PER","PPP","TOT","NATUSD","A","2016",1.562275,
"PER","PPP","TOT","NATUSD","A","2017",1.595123,
"ROU","PPP","TOT","NATUSD","A","2016",1.627054,
"ROU","PPP","TOT","NATUSD","A","2017",1.644575,
"MKD","PPP","TOT","NATUSD","A","2016",19.297243,
"MKD","PPP","TOT","NATUSD","A","2017",19.358078,
"ZMB","PPP","TOT","NATUSD","A","2016",3.308,
"ZMB","PPP","TOT","NATUSD","A","2017",3.525,
